 # i        j         
 0          64        
 0          1         
 1          2         
 2          3         
 3          16        
 3          14        
 3          4         
 4          5         
 5          6         
 6          8         
 6          7         
 7          8         
 7          9         
 8          9         
 9          10        
 9          14        
 10         14        
 10         12        
 10         11        
 11         14        
 11         12        
 12         13        
 12         14        
 13         14        
 14         15        
 15         17        
 15         16        
 15         18        
 15         33        
 16         17        
 16         18        
 17         22        
 17         18        
 17         19        
 18         20        
 18         19        
 18         22        
 19         20        
 19         21        
 19         22        
 19         23        
 20         21        
 20         35        
 20         32        
 20         22        
 20         36        
 20         23        
 21         22        
 21         23        
 22         24        
 22         23        
 22         32        
 22         26        
 22         35        
 22         33        
 22         25        
 23         25        
 23         29        
 23         24        
 24         25        
 24         27        
 24         26        
 24         32        
 24         29        
 25         30        
 25         26        
 25         29        
 26         33        
 26         29        
 26         27        
 26         28        
 27         28        
 28         29        
 28         32        
 29         30        
 29         31        
 29         35        
 29         32        
 29         34        
 30         34        
 30         32        
 30         35        
 30         31        
 31         32        
 31         33        
 32         33        
 32         34        
 33         34        
 33         35        
 33         36        
 33         43        
 34         36        
 34         37        
 34         39        
 34         35        
 35         37        
 35         36        
 35         38        
 36         37        
 36         43        
 36         41        
 37         38        
 37         40        
 37         39        
 38         39        
 38         41        
 38         40        
 39         41        
 39         40        
 40         41        
 40         53        
 40         52        
 40         44        
 40         42        
 40         50        
 41         42        
 41         44        
 41         43        
 42         44        
 42         43        
 42         45        
 43         51        
 43         50        
 43         47        
 43         45        
 43         44        
 43         48        
 43         46        
 44         46        
 44         45        
 44         48        
 44         49        
 45         47        
 45         46        
 45         48        
 45         52        
 46         48        
 46         47        
 46         51        
 46         50        
 47         49        
 47         48        
 47         51        
 47         50        
 48         49        
 48         50        
 49         50        
 50         51        
 50         52        
 51         52        
 51         54        
 51         53        
 52         53        
 53         54        
 53         55        
 54         56        
 54         55        
 55         56        
 56         57        
 57         58        
 58         59        
 59         60        
 60         61        
 61         63        
 61         62        
 62         63        
 62         64        
 63         64        
