 # i        kappa            theta           
 0          564.6606543      0.3369153198    
 1          430.5122546      1.079212938     
 2          408.2957185      1.320387887     
 3          456.6111984      1.569855398     
 4          631.355745       1.977572679     
 5          589.1929385      2.614123039     
 6          451.0606418      2.957633684     
 7          390.7262249      3.202716917     
 8          458.9128472      3.435887398     
 9          511.5089796      3.693186241     
 10         452.8437778      3.968892402     
 11         548.2877891      4.24820496      
 12         451.3927266      4.500017347     
 13         434.7081977      4.725428029     
 14         398.656893       5.137716045     
 15         383.6483262      6.09525096      
 16         126.7284605      6.222624112     
