 # i        kappa            theta           
 0          230.0158625      0.11709189      
 1          336.8437826      0.4861454296    
 2          221.5285495      1.023388571     
 3          210.7041902      1.137904132     
 4          222.7316003      1.262083729     
 5          187.1876287      1.389813554     
 6          182.5886971      1.495589123     
 7          275.7928742      1.618894909     
 8          324.7545181      1.828554642     
 9          309.1243915      2.134100159     
 10         301.2420184      2.505915583     
 11         290.3060402      2.726403354     
 12         221.964675       2.887151989     
 13         230.8988827      3.025363574     
 14         208.2919532      3.155036097     
 15         183.9921091      3.256728765     
 16         216.4757562      3.367325893     
 17         244.267056       3.496599274     
 18         254.1467036      3.627235153     
 19         259.4072303      3.757785629     
 20         228.2797272      3.901409069     
 21         226.3745831      4.036940242     
 22         263.3786308      4.173062375     
 23         287.0983574      4.317098178     
 24         214.8249276      4.435709392     
 25         238.3690105      4.557934061     
 26         221.2004405      4.674614067     
 27         215.2455682      4.777652738     
 28         231.3397035      4.891971621     
 29         168.8827642      5.474846458     
 30         196.7512306      6.050050377     
 31         188.4304742      6.142457258     
 32         126.7284605      6.222624112     
