 # i        j         
 0          32        
 0          1         
 1          8         
 1          7         
 1          2         
 2          3         
 3          4         
 4          5         
 4          7         
 5          7         
 5          6         
 6          7         
 7          8         
 7          9         
 7          16        
 8          9         
 8          11        
 9          10        
 9          11        
 10         17        
 10         16        
 10         11        
 10         18        
 11         12        
 11         16        
 11         13        
 11         17        
 11         14        
 12         13        
 12         16        
 12         14        
 12         15        
 13         16        
 13         14        
 14         16        
 14         15        
 14         17        
 15         17        
 15         16        
 16         17        
 16         18        
 16         21        
 17         18        
 17         19        
 18         21        
 18         20        
 18         19        
 19         20        
 20         26        
 20         22        
 20         21        
 20         25        
 21         22        
 21         25        
 21         23        
 21         24        
 22         23        
 22         24        
 22         26        
 23         24        
 23         25        
 24         25        
 25         26        
 25         27        
 26         27        
 27         28        
 28         29        
 29         30        
 30         31        
 31         32        
