 # i        kappa            theta           
 0          53.41662362      0.04639277126   
 1          40.01236077      0.07615823001   
 2          67.81863841      0.1342654981    
 3          70.58005878      0.1769129079    
 4          81.59724076      0.2178993919    
 5          74.06650816      0.268471197     
 6          120.6963715      0.6058370366    
 7          63.12164401      0.8574361144    
 8          41.26763298      0.9502458935    
 9          52.30633139      1.008168919     
 10         58.15681292      1.036701633     
 11         71.54795223      1.065725057     
 12         45.56347216      1.093099692     
 13         56.14155738      1.114530947     
 14         57.75576524      1.156020647     
 15         52.9267354       1.181452152     
 16         64.96811878      1.219058882     
 17         51.78242381      1.2496036       
 18         50.20903148      1.272357895     
 19         57.5498208       1.312943442     
 20         55.90080016      1.348578602     
 21         48.53567995      1.381294645     
 22         34.30753611      1.406783233     
 23         49.92722073      1.432648659     
 24         35.8464117       1.453993752     
 25         61.8267011       1.476791752     
 26         41.02247217      1.507921775     
 27         45.33318665      1.542956073     
 28         74.40385669      1.560960688     
 29         63.24861585      1.601263049     
 30         50.06965558      1.634288735     
 31         90.24403747      1.670416787     
 32         85.99340965      1.734862387     
 33         67.73134194      1.801878255     
 34         100.8893689      1.864954616     
 35         72.71936228      1.913664868     
 36         56.91373629      1.950868119     
 37         81.24862435      2.023851901     
 38         95.43457127      2.188011344     
 39         77.97514428      2.316340878     
 40         75.67399453      2.360663388     
 41         94.87865673      2.497875367     
 42         76.46272316      2.575663035     
 43         56.61200352      2.619494137     
 44         76.01818116      2.658885831     
 45         95.5183427       2.712872918     
 46         56.74869013      2.756240331     
 47         64.31372743      2.800106196     
 48         43.49426103      2.825575951     
 49         77.46609305      2.861978879     
 50         49.01960783      2.916385839     
 51         53.73024836      2.946641923     
 52         69.81734773      2.976031323     
 53         58.35012636      3.008776857     
 54         31.38847005      3.040505389     
 55         73.13344435      3.079190526     
 56         47.1803744       3.111681098     
 57         45.97078844      3.13576086      
 58         42.61664713      3.163801041     
 59         74.16030675      3.189438421     
 60         43.71340417      3.213480661     
 61         44.86207594      3.244616646     
 62         46.27842251      3.267420073     
 63         50.61073511      3.295006112     
 64         46.18913367      3.319633224     
 65         62.14123605      3.352195005     
 66         52.9895609       3.382256646     
 67         56.88305286      3.408637257     
 68         65.67480621      3.4547089       
 69         49.62806134      3.478102415     
 70         68.05779712      3.506133354     
 71         62.85359906      3.544633885     
 72         45.31689352      3.5695466       
 73         59.807444        3.596109137     
 74         59.42358393      3.634166904     
 75         91.5853793       3.67144993      
 76         54.05627881      3.704033968     
 77         73.09194833      3.739099939     
 78         71.16397294      3.773794046     
 79         63.16326474      3.807334082     
 80         47.91361062      3.840898708     
 81         62.77380768      3.875432639     
 82         57.03473773      3.923548514     
 83         62.37918915      3.953720932     
 84         49.02600509      3.976404592     
 85         54.67088436      4.016877631     
 86         62.88992515      4.055610338     
 87         61.59514566      4.08378526      
 88         63.84177642      4.133467264     
 89         60.41200171      4.154706252     
 90         82.91082954      4.183277148     
 91         58.30841861      4.220902498     
 92         62.84400829      4.257999457     
 93         58.83662745      4.291711038     
 94         84.40295122      4.327749936     
 95         83.29343169      4.36871331      
 96         42.2227002       4.395757846     
 97         60.72542884      4.418608897     
 98         68.11235234      4.449401599     
 99         45.46134647      4.47511459      
 100        53.31287843      4.512627281     
 101        62.57505427      4.53837221      
 102        57.14307497      4.570932161     
 103        67.24251044      4.600965515     
 104        49.27524033      4.629707454     
 105        53.78906751      4.660428606     
 106        62.32446458      4.684136311     
 107        57.57920546      4.715942147     
 108        73.36489333      4.741051542     
 109        39.23025104      4.767129789     
 110        59.40797227      4.796456504     
 111        44.92989683      4.821862525     
 112        61.89513166      4.848650237     
 113        48.56844189      4.878739335     
 114        69.2873316       4.905352743     
 115        53.42989709      4.936839765     
 116        46.31670275      4.963358796     
 117        37.03963596      4.978545365     
 118        37.17824683      5.915831918     
 119        49.69288632      5.990869972     
 120        41.63013643      6.012961588     
 121        53.24701768      6.037754536     
 122        50.96101573      6.058168222     
 123        52.48423971      6.084023017     
 124        51.24192226      6.10780332      
 125        50.99485872      6.132253526     
 126        45.54085387      6.158572083     
 127        42.15901009      6.179563861     
 128        64.09598018      6.202935845     
 129        63.13914397      6.242612116     
