 # i        j         
 0          16        
 0          4         
 0          3         
 0          1         
 1          2         
 2          3         
 3          4         
 3          8         
 4          5         
 5          8         
 5          9         
 5          6         
 5          7         
 6          8         
 6          7         
 7          8         
 8          9         
 8          10        
 9          10        
 10         13        
 10         11        
 10         12        
 11         12        
 11         13        
 12         13        
 13         14        
 14         15        
 15         16        
